nameCommon,nameVariable,category,categoryID,type,targetInitial,targetMin,targetMax,includeApp,includeJust,justification
Construction: Beach Mining,beach_mining,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Beach Mining. This data is derived from the Ocean Use Survey.
Construction: Dredging Reef Flats,dredging_reef_flats,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Dredging Reef Flats. This data is derived from the Ocean Use Survey.
Construction: Port Improvement Projects,port_improvement_projects,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Port Improvement Projects. This data is derived from the Ocean Use Survey.
Construction: Reclamation of Mangrove and Shoreline Areas,reclamation_of_mangrove_and_shoreline_areas,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Reclamation of Mangrove and Shoreline Areas. This data is derived from the Ocean Use Survey.
Construction: Road Construction,road_construction,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Road Construction. This data is derived from the Ocean Use Survey.
Construction: Seawall Construction,seawall_construction,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Seawall Construction. This data is derived from the Ocean Use Survey.
Cultural: Handicrafts,handicrafts,Ocean Use Survey,Cultural,Feature,30,0,85,TRUE,TRUE,The areas used for Cultural Handicrafts. This data is derived from the Ocean Use Survey.
Cultural: Historical Site,historical_site,Ocean Use Survey,Cultural,Feature,30,0,85,TRUE,TRUE,The areas used for Cultural Historical Sites. This data is derived from the Ocean Use Survey.
Cultural: Preservation Food,preservation_food,Ocean Use Survey,Cultural,Feature,30,0,85,TRUE,TRUE,The areas used for Cultural Preservation of Food. This data is derived from the Ocean Use Survey.
Cultural: Preservation Wood,preservation_wood,Ocean Use Survey,Cultural,Feature,30,0,85,TRUE,TRUE,The areas used for Cultural Preservation of Wood. This data is derived from the Ocean Use Survey.
Cultural: Sea Cucumber Collection,sea_cucumber_collection,Ocean Use Survey,Cultural,Feature,30,0,85,TRUE,TRUE,The areas used for Cultural Sea Cucumber Harvesting. This data is derived from the Ocean Use Survey.
Cultural: Turtle Harvesting,turtle_harvesting,Ocean Use Survey,Cultural,Feature,30,0,85,TRUE,TRUE,The areas used for Cultural Turtle Harvesting. This data is derived from the Ocean Use Survey.
Fisheries: Bottom Fishing,bottom_fishing,Ocean Use Survey,Fishing,Cost,NA,NA,NA,TRUE,TRUE,The areas used for Bottom Fishing. This data is derived from the Ocean Use Survey.
Fisheries: Cast Net,cast_net,Ocean Use Survey,Fishing,Feature,30,0,85,FALSE,FALSE,The areas used for Cast Net Fishing. This data is derived from the Ocean Use Survey.
Fisheries: Casting,casting,Ocean Use Survey,Fishing,Feature,30,0,85,FALSE,FALSE,The areas used for Casting. This data is derived from the Ocean Use Survey.
Fisheries: Gathering/Reef Gleaning,gathering_reef_gleaning,Ocean Use Survey,Fishing,Feature,30,0,85,FALSE,FALSE,The areas used for Gathering or Reef Gleaning. This data is derived from the Ocean Use Survey.
Fisheries: Other/Torch Fishing,other_torch_fishing,Ocean Use Survey,Fishing,Feature,30,0,85,FALSE,FALSE,The areas used for Torch Fishing. This data is derived from the Ocean Use Survey.
Fisheries: Spear Harpoon,spear_harpoon,Ocean Use Survey,Fishing,Feature,30,0,85,FALSE,FALSE,The areas used for Spear Harpoon Fishing. This data is derived from the Ocean Use Survey.
Fisheries: Trap/Fish Fence/Gill Net,trap_fish_fence_gill_net,Ocean Use Survey,Fishing,Feature,30,0,85,FALSE,FALSE,The areas used for Trap/Fish Fence/Gill Net Fishing. This data is derived from the Ocean Use Survey.
Fisheries: Trolling,trolling,Ocean Use Survey,Fishing,Cost,NA,NA,NA,TRUE,TRUE,The areas used for Trolling Fisheries. This data is derived from the Ocean Use Survey.
Fisheries: Vertical Longline,vertical_longline,Ocean Use Survey,Fishing,Feature,30,0,85,FALSE,FALSE,The areas used for Vertical Longline Fishing. This data is derived from the Ocean Use Survey.
Maritime Activity: Commercial Trans shipment,commercial_transshipment,Ocean Use Survey,Maritime Activity,Feature,30,0,85,FALSE,FALSE,The areas used for Commercial Transshipment Maritime Activity. This data is derived from the Ocean Use Survey.
Maritime Activity: Enforcement,enforcement,Ocean Use Survey,Maritime Activity,Feature,30,0,85,FALSE,FALSE,The areas used for Law Enforcement Maritime Activity. This data is derived from the Ocean Use Survey. Data derived from the Ocean Use Survey.
Maritime Activity: Inter Island Transportation,inter_island_transportation,Ocean Use Survey,Maritime Activity,Feature,30,0,85,FALSE,FALSE,The areas used for Inter Island Transportation. This data is derived from the Ocean Use Survey.
Recreation: Canoe Racing,canoe_racing,Ocean Use Survey,Recreation,Feature,30,0,85,TRUE,TRUE,The areas used for Recreational Canoe Racing. This data is derived from the Ocean Use Survey.
Recreation: Kayaking,kayaking,Ocean Use Survey,Recreation,Feature,30,0,85,TRUE,TRUE,The areas used for Recreational Kayaking. This data is derived from the Ocean Use Survey.
Recreation: Snorkeling,r_snorkeling,Ocean Use Survey,Recreation,Feature,30,0,85,TRUE,TRUE,The areas used for Recreational Snorkeling. This data is derived from the Ocean Use Survey.
Recreation: Swimming,swimming,Ocean Use Survey,Recreation,Feature,30,0,85,TRUE,TRUE,The areas used for Recreational Swimming. This data is derived from the Ocean Use Survey.
Tourism: Diving,diving,Ocean Use Survey,Tourism,Feature,30,0,85,TRUE,TRUE,The areas used for Diving Tourism. This data is derived from the Ocean Use Survey.
Tourism: Paddleboarding,paddleboarding,Ocean Use Survey,Tourism,Feature,30,0,85,TRUE,TRUE,The areas used for Paddleboarding Tourism. This data is derived from the Ocean Use Survey.
Tourism: Snorkeling,t_snorkeling,Ocean Use Survey,Tourism,Feature,30,0,85,TRUE,TRUE,The areas used for Snorkeling Tourism. This data is derived from the Ocean Use Survey.
Tourism: Surfing,surfing,Ocean Use Survey,Tourism,Feature,30,0,85,TRUE,TRUE,The areas used for Surfing Tourism. This data is derived from the Ocean Use Survey.
